,cell_type,n_cells,proportion,mean_confidence,median_confidence,min_confidence,max_confidence
1,Tem/Temra cytotoxic T cells,4412,0.30651660414061416,0.931716074152539,0.9976436732936511,0.007414480764202157,0.9999999760724193
0,CD16+ NK cells,2550,0.177157148812005,0.9511728586422187,0.9996108749852217,0.011941309573611163,0.9999999999139473
2,Tem/Trm cytotoxic T cells,2070,0.14380992080033347,0.8554801305281893,0.9904710357530884,0.003958802821854216,0.9999997755061656
4,Tcm/Naive helper T cells,1153,0.08010282061970266,0.8408851562894331,0.9767856244284998,0.011177319452880908,0.9999999076612399
3,Naive B cells,799,0.0555092399610949,0.9778686061379569,0.9999817308311377,0.04956517994158317,0.999999999994738
7,Tem/Effector helper T cells,708,0.049187161317215504,0.735260231032115,0.8459870811229946,0.0028101058501020714,0.9999976389792979
6,Memory B cells,586,0.04071140753091566,0.9402841985334447,0.999568180472475,0.04840641756616986,0.999999999613038
11,Regulatory T cells,484,0.03362512157843546,0.8336412584659529,0.981355759494241,0.017898198495535485,0.9999999999999067
16,Type 1 helper T cells,255,0.017715714881200502,0.617925072043838,0.7040439396016205,0.002351870520308062,0.9999875300416652
12,MAIT cells,239,0.016604140614144784,0.8414546710181566,0.9911616270087558,0.015130122177105822,0.9999999754358365
9,Tcm/Naive cytotoxic T cells,202,0.014033625121578436,0.8496676880385282,0.9973825787002573,0.018186917424481808,0.9999999763932098
25,Trm cytotoxic T cells,144,0.010004168403501459,0.5974883390333656,0.6576832155911625,0.02622594078922582,0.9995818992636859
30,Mast cells,102,0.0070862859524802,0.9311514809159853,0.9999994678283654,0.0011356577243354317,0.9999999999999916
14,Classical monocytes,88,0.006113658468806447,0.8158238931620235,0.9974280693952017,0.015053248117591175,0.9999999763379003
10,DC2,61,0.004237876893149924,0.7594773007980355,0.9571555268819156,0.005804760945038405,0.9999995806577366
15,Follicular helper T cells,53,0.003682089759622065,0.5587944705768607,0.6281981523123529,0.03569011954837201,0.9930936108007634
5,CRTAM+ gamma-delta T cells,50,0.003473669584549118,0.6069195951372742,0.6413276894901413,0.011200236066628164,0.9999697043316036
28,Macrophages,46,0.0031957760177851883,0.6495211824997749,0.7447373022449988,0.0031072689738111583,0.9995045095046472
18,Age-associated B cells,45,0.003126302626094206,0.8783072344325278,0.9899461133368586,0.12261878795921814,0.9999999754807182
31,Alveolar macrophages,38,0.0026399888842573295,0.6349823919674614,0.7342859675318587,0.013182807306526136,0.9999776083325516
22,CD16- NK cells,38,0.0026399888842573295,0.8197915293624568,0.9680516569501945,0.07201510259913149,0.9999893569466791
23,ILC3,36,0.0025010421008753647,0.801301908463889,0.9931976899413764,0.016473820288391214,0.9999999460446785
17,Non-classical monocytes,27,0.0018757815756565235,0.8700600615986983,0.9999964613927277,0.11709533966265882,0.9999999210572368
32,Type 17 helper T cells,22,0.0015284146172016117,0.48870715028116135,0.4357510211387814,0.030105942066538195,0.9987328889737878
8,Plasmablasts,17,0.0011810476587467,0.7493935102461626,0.9499936859766748,0.13192177992040618,0.9999910742888746
29,Germinal center B cells,17,0.0011810476587467,0.8191243953666952,0.9857291591007353,0.07946243658773033,0.9999786619845907
20,Mono-mac,16,0.0011115742670557178,0.5150256430985453,0.6309325984359748,0.025482665259649432,0.9930006222183585
38,Intermediate macrophages,16,0.0011115742670557178,0.5928052728001593,0.7130082800661173,0.020579895175940013,0.99783438870638
19,Plasma cells,15,0.0010421008753647354,0.9770847320669307,0.9984956080512803,0.8676769917125909,0.9999980677956255
13,NK cells,12,0.0008336807002917883,0.2171640971850243,0.13271108453589528,0.014069298880922837,0.6702205109102658
26,Erythrophagocytic macrophages,11,0.0007642073086008059,0.5508436407861844,0.4474704169504419,0.15263076967550127,0.9307487999885746
21,NKT cells,8,0.0005557871335278589,0.6415044150855551,0.6291031083938629,0.326739875090466,0.9385328952162705
36,Intestinal macrophages,8,0.0005557871335278589,0.6801968744388778,0.9338531536013146,0.019926532708804068,0.9995198184801962
37,DC,8,0.0005557871335278589,0.47303122363766925,0.4430952955881239,0.04023688539874127,0.9796311445217045
34,CD8a/a,5,0.0003473669584549118,0.3855462143809848,0.45476536300298004,0.04254992732701197,0.7187300511916807
27,Monocytes,5,0.0003473669584549118,0.36317956084230535,0.22853161510886652,0.07729285160836698,0.985489211274014
33,Double-negative thymocytes,5,0.0003473669584549118,0.6911507329550644,0.8735081121434467,0.21772345376815924,0.9856811240450631
35,gamma-delta T cells,5,0.0003473669584549118,0.821500497489227,0.9374968711252792,0.3816329105895308,0.9998409655477207
54,Proliferative germinal center B cells,5,0.0003473669584549118,0.4671552261026859,0.20846828880805088,0.043015592181383906,0.9879658931531251
42,B cells,4,0.00027789356676392944,0.544670322395994,0.4990699416769438,0.23881120380670853,0.94173020242338
40,Cycling T cells,4,0.00027789356676392944,0.6252386927789768,0.5967545251317545,0.3122578830913706,0.9951878377610274
24,pDC,3,0.00020842017507294707,0.9973137364838184,0.9968036129819331,0.9951405688567931,0.999997027612729
41,Kupffer cells,2,0.00013894678338196472,0.29986793239437504,0.29986793239437504,0.18917855918230336,0.41055730560644665
39,Migratory DCs,2,0.00013894678338196472,0.5312532112511077,0.5312532112511077,0.0625116069531419,0.9999948155490734
47,Cycling NK cells,2,0.00013894678338196472,0.46779302896057867,0.46779302896057867,0.32974915239823943,0.6058369055229179
46,T(agonist),2,0.00013894678338196472,0.34955530888041053,0.34955530888041053,0.06578947863163355,0.6333211391291875
50,DC precursor,2,0.00013894678338196472,0.5884699066203676,0.5884699066203676,0.1970107973035326,0.9799290159372025
52,Epithelial cells,2,0.00013894678338196472,0.25163242540329184,0.25163242540329184,0.19631946785943646,0.3069453829471472
45,Monocyte precursor,1,6.947339169098236e-05,0.5665533474032475,0.5665533474032475,0.5665533474032475,0.5665533474032475
43,Cycling gamma-delta T cells,1,6.947339169098236e-05,0.9789389450739292,0.9789389450739292,0.9789389450739292,0.9789389450739292
49,Double-positive thymocytes,1,6.947339169098236e-05,0.10491886981698766,0.10491886981698766,0.10491886981698766,0.10491886981698766
48,Endothelial cells,1,6.947339169098236e-05,0.9997936862528153,0.9997936862528153,0.9997936862528153,0.9997936862528153
44,Treg(diff),1,6.947339169098236e-05,0.9636852895407388,0.9636852895407388,0.9636852895407388,0.9636852895407388
51,DC1,1,6.947339169098236e-05,0.9099158465126167,0.9099158465126167,0.9099158465126167,0.9099158465126167
53,ILC,1,6.947339169098236e-05,0.010728487179106832,0.010728487179106832,0.010728487179106832,0.010728487179106832
55,Transitional B cells,1,6.947339169098236e-05,0.8637086588526578,0.8637086588526578,0.8637086588526578,0.8637086588526578
56,Transitional NK,1,6.947339169098236e-05,0.9914554978085064,0.9914554978085064,0.9914554978085064,0.9914554978085064
57,ETP,1,6.947339169098236e-05,0.928592582530273,0.928592582530273,0.928592582530273,0.928592582530273
